מַחְשֵׁב; כַּמְבְּיוּתֵר كمبيوتر
דבר, משהו; אִשִי  إِشِي
אתם, אתן; אִנְתוּ إنتو
אֲנִי; אַנַא أَنَا
שאלוהים יהיה איתךָ (ברכה בעת פרידה); אַללַّה מַעַאכּ الله معاك
תּוֹדָה; שֻכְּרַן شُكْرًا
קְצָת; שְוַיّ شويّ
רחוב; שַארֵע شارع
כַּמָּה (לבלתי ספיר); קַדֵّיש قَدِّيش
בְּ- (בתוך); פִי في
משפחה (גרעינית); עֵילֵה عِيلِة
גר, שוכן; סַאכֵּן ساكن
לא (שלילת שם עצם/תואר ובינוניים); מִש مش
שָׁלוֹם (מילולית - ״פעמיים שלום״, תשובה ל׳מרחבא׳); מַרְחַבְּתֵין مرحبتين
שָׁלוֹם (מילת ברכה); מַרְחַבַּא مَرْحَبَا
מוֹרֶה; מְעַלֵّם مْعَلِّم
מן, מ...; מִן من
אפשר; מֻמְכֵּן ممكن
לֹא (מילת שלילה); לַא لا
מה שלומך?; כִּיף חַאלַכּ? كيف حالك
איך, כיצד; כִּיף كِيف
גָּדוֹל; כְּבִּיר كْبِير
טוב, בסדר, טעים; טַיֵّבּ طيّب
הִיא; הִיֵّ هِيِّ
הוּא; הֻוֵّ هُوِّ
זה; הַאדַ׳א هٰذا
רק; בַּסّ بسّ
בת, ילדה; בִּנְת بِنْت
אַתְּ (כינוי גוף); אִנְתִי إِنْتِي
אַתָּה; אִנְתֵ إنت
אָמֶרִיקָה (היבשת); אַמְרִיכַּא أمريكا
יְרוּשָׁלַיִם; אִלְקֻדְס إِلْقُدْس
תּוֹדָה לָאֵל, הַשֶּׁבַח לָאֵל; אֵלְחַמְדֻלִלַّה الحمدلله
כן; אַיְוַה ايوه
משרד; מַכְּתַבּ مكتب
לֶחֶם; חֻ׳בְּז خُبْز
מְדַבֵּר (אני), אדבר; בַּחְכִּי بحكي
דעה; רַאי راي 
מחברת; דַפְתַר دفتر
חָלָב; חַלִיבּ حَلِيب
יוֹם (כל היממה); יוֹם يُوم
אֵיפֹה, הֵיכָן (מילת שאלה); פֵין فِين
בָּחוּר, נָעַר; שַאבּّ شابّ
סֵפֶר; כְּתַאבּ كْتَاب
מִילָּה; כִּלְמֵה كِلْمِة
קוֹל; צוֹת صُوت
מכונית; סַיַّארַה سَيَّارة
אוֹכֶל (מזון); אַכְּל أَكْل
כוס; כַּאס كَاس
אחר, שני (נוסף); תַ׳אנִי ثاني
דִּיבּוּר; חַכִּי حَكِي
מאיפה, מאין (שאלה); מִן וֵין مِن وِين
מה העניינים?; כִּיף אֵלְאֻמוּר? كيف الامور؟
עכשיו, כעת (בלהגים עירוניים); הַלַّאְ هلّلأ
שָׂפָה (שפת דיבור); לֻעַ׳ה لُغَة
תלמיד, סטודנט; טַאלֵבּ طَالِب
רעיון; פִכְּרַה فِكْرَة
שָׁלוֹם עליכם (מילת ברכה); אִ(ל)סַّלַאם עַלֵיכֹּם  السلام عليكم
תִּהֲיֶה בָּרִיא, תּוֹדָה, בְּבַקָּשָׁה; אַללַّה יְחַ׳לִّיכּ الله يْخَلِّيك
נעים להכיר; פֻרְצַה סַעִידֵה فرصة سعيدة
הלוואי,אם ירצה השם, בעזרת השם; אִנְשַאללַّה إن شاء الله
חיים; עַאיְשִין عايشين
גרים, שוכנים; סַאכְּנִין ساكنين
תֶּה; שַאי شَاي
יש לי, אצלי; עִנְדִי عندي
שֵׁם (כינוי מזהה); אִסְם إِسْم
אני רוצה, אני צריך; בִּדִّّי بِدِّي
סליחה, ברשותך (פנייה); לַוְ סַמַחְת لو سمحت
שאלוהים ייתן לך בריאות; אַללַّה יְעַאפִיכּ الله يعافيك
יבורכו ידיך; יִסְלַמוּ אִידֵיכּ يسلمو ايديك
יודע; עַארֵף عارف
אב, אבּא; אַבּ اب
אח; אַח׳ أخ
רֹאשׁ; רַאס رَاس 
אֵין; פִשّ فشّ
הוֹלֵךְ; רַאיֵח رايح
מְכוֹנִיּוֹת; סַיַّארַאת سيّارات
אֲנָחְנוּ; אִחְנַא إِحْنَا
הוֹרִים; אַהְל أَهْل
תאריך; תַארִיח׳ تاريخ
חם (מזג האויר); שוֹבּ شوب
זְכוּת; חַקّ حَقّ
שִיעוּר, לימוד; דַרְס دَرْس
אָנְגְלִית; אִנְגְלִיזִי انجليزي
עָבַד (פועל); אִשְתַעַ׳ל إشتغل
בעיות; מַשַאכֵּל مشاكل
כן (מנומס); נַעַם نعم
סָלָט; סַלַטַה سَلَطَة
סִינִית (שפה); צִינִי صيني
שָׁעָה (יחידת זמן); סַאעַה سَاعَة
מַה שְּׁלוֹמְךָ ?; כִּיפַכּ ? كيفك ؟
שִיגֵּעַ; גַ׳נַّן جنّن
שורה; צַףّ صفّ
שפות; לֻעַ׳את لغات
נתראה; מִנְשוּפְכֹּם منشوفكم
שלום; סַלַאמַאת سلامات
רֵיק (שאין בו כלום); פַאצִ׳י فَاضِي
להתראות; אִלַא (אל)לִّקַאא إِلَى اللِّقَاء
תודה, תבורך; תִסְלַם تِسْلَم
מחברות; דַפַאתֵר دفاتر
רואה; שַאיֵף شايف
איזה יופי; יַא סַלַאם يَا سَلَام
מֶבִין; פַאהֵם فاهم
הכל בסדר; מַאשִי مَاشِي
שומע; סַאמֵע سَامِع
לאן; עַ-וֵין ع وين
כמה (לספיר); אַכַּםّ أَكَمّ
הינדי (שפה); הִנְדִי هندي
ל, אל (למקום); עַלַא على
שגור, נפוץ; דַארֵג׳ دارج
מעניין (מילולית- מעורר); מֻתִ׳יר مثير
ברירה, מנוס; מַפַרّ مفرّ
מהדורת החדשות; נַשְרֵת אִלְאַחְ׳בַּאר نشرة الأخبار
שמיים; סַמַא سَمَا
רשימה; לִסְתַה لستة
מָנָה (חלק מסעודה); וַגְ׳בֵּה وَجْبِة
שחקן (שחקן מקצועי בספורט); לַעִיבּ لَعِيب 
הִכְרִיחַ; אַגְ׳בַּר أجبر
רַךְ, עָדִין; נַאעֵם نَاعِم
רמאי; עַ׳שַّאש غشّاش
התגרות, פרובוקציה; אִסְתִפְזַאז إِسْتِفْزَاز
נוֹלַד; חִ׳לֵק خلق
שוֹכֵר; מִסְתַאְגֵ׳ר مستأجر
אִכְפַּת (ל...); תִפְרֵק מַע تفرق مع
מקצוען; מֻחְתַרֵף محترف
חינוך מיוחד; תַרְבִּיֵה חַ׳אצַّה تربية خاصّة
משקיע (בלימודים, בעבודה); מֻגְ׳תַהֵד مجتهد
שריפה; חַרִיק حَرِيق
מושחת (נגוע בשחיתות); פַאסֵד فَاسِد
רך; טַרִי طَرِي
יותר טוב מכלום; אַחְסַן מִן בַּלַאש احسن من بلاش
מזוייף; מְזַוַّר مْزَوَّر
אירח, ישב עם אורח; אַאנַס آنس
כמה ש, ככל ש; קַדّ מַא قَدّ مَا
קליטה (סלולרית); לַקֵט لقط
תינוק, ילד, ילד קטן; טִפְל طِفْل
שב!; אֻקְעֻד أقعد
חָזָק; קַוִי قَوِي
פּוֹעֵל, עוֹבֵד (מקצוע); עַאמֵל عَامِل
בָּשָׂר; לַחְם لَحْم
יכול (גוף ראשון הווה-עתיד); בַּקְדַר بقدر
אָמַר; קַאל قَال
צריך, חייב (לפני פועל בתילוי); לַאזֵם لازم
כמו; זַיّ زيّ
פָחוֹת (בכמות/מידה קטנה יותר); אַקַלّ أَقَلّ
שום דבר, כלום; וַלַא אִשִי  وَلَا إِشِي
מהפה שלךָ לאלוהים; מִן תֻ׳מַّכּ לַבַּאבּ א(ל)-סַّמַאא من ثمك لباب السّماء
כֶּסֶף (אמצעי תשלום); פְלוּס فلوس
פנים, פרצוף; וֻגֵ׳הְ وجه
מהר, במהירות; בְּסֻרְעַה بْسُرْعَة
התחשק לו, בא לו; אִגַ׳א עַלַא בַּאלוֹ أَجَى عَلَى بَالُه
נִכְנַס; דַחַ׳ל دخل
אהלן, שלום (ברכה בפגישה); אַהְלֵין أهلين
צריך, זקוק; עַאיֵז عايز
קל (לא קשה); הַיֵّן هيّن
הרשה לעבור, אפשר לעבור; מַשַّא مشّى
רעש, המולה; צַ׳גֵّ׳ה ضجّة 
קח; ח׳ֹד׳ خذ
רָגוּעַ, נִינוֹח; מִרְתַאח مرتاح
תעשה לי טובה, תהיה בריא (מילולית - שאלוהים יהיה מרוצה ממך); אַלְלַה יִרְצַ׳א עַלֵיכּ الله يرضى عليك
בוא; תַע تع
אִיחֵר; תְאַחַّ׳ר تأخّر
רוצה (הוא); בִּדّוֹ بدّه
עוֹדֶף (בכסף); פַכַּّה فَكَّة
עייף, מותש; תַעִّיבּ تعّيب
לומד; מִתְעַלֵﬞם متعلّم
סוּס; חְצַאן حْصَان
עַכְבָּרִים; פִירַאן فِيرَان
גפרורים; כִּבְּרִית كِبْرِيت
יש לי; אִלִי الي
תוכניות; בַּרַאמֵג׳ برامج
שֶל, שַיַיךְ ל...; תַבַּע تبع
מִצְטָעֵר; אַאסֵף آسِف
מכונאי; מִכַּאנִיכִּי مكانيكي
בטח, בוודאי; מַעְלוּם معلوم
בְּבַקָּשָׁה, עַל לֹא דָּבָר (תשובה לתודה); עַפְוַן عفوًا
בְּבַקָּשָׁה, אָנָא (כשמבקשים משהו); אַרְג׳וּכּ أرجوك
יָשַן, שָכַב; נַאם نام
חו״ל, חוץ לארץ; אִלְחַ׳ארֵג׳ الخارج
ראיתי; שֻפְת شفت
סיכוי, הזדמנות; פֻרְצַה فرصة
חופשה; אִגַ׳אזֵה اجازة
חוף הים; שַטִّ (א)לְ-בַּחַר شط البحر
הזדמנויות; פֻרָץ فرص
עָמַד; וִקֵף وِقِف
מוסך; כַּרַאג׳ كَرَاج
הולך (ברגל); מַאשִי مَاشِي
נוסע, מטייל; מְסַאפֵר مسافر
שֵׂכֶל; עַקֵל عقل
גבוה (לדומם); עַאלִי عالي
נמוך (לדומם); וַאטִי واطي
מקומי; מַחַלִّי محلّي
מצא; וַגַ׳ד وجد
מַתָּנוֹת; הַדַאיַא هَدَايَا
בִּיקֵש; טַלַבּ طَلَب
עָבַר, חָלַף (זמן); פַאת فَات
מבנה, מתקן; מֻנְשָאַה منشأة
יכל; קִדֵר قدر
בנוגע ל, ביחס ל, בקשר ל; בִּ(אל)נִّסְבֵּה לַ بالنّسبة ل
ציוד; תַגְ׳הִיזַאת تجهيزات
אָבַד, נֶעֱלַם; צַ׳אע ضَاع
כלא; חַבְּס حبس
מכובד, הגון; מֻחְתַרַם محترم
זכוכית; קְזַאז قزاز
הים התיכון; אֵלְבַּחַר אֵלְאַבְּיַץ׳ אֵלְמֻתַוַסֵّט البحر الأبيض المتوسّط
שנינו; תְ׳נֵינַאתְנַא ثنيناتنا
הביך; אַחְרַג׳ أحرج
החליף; בַּדַّל بدّل
הִצְחִיק; צַ׳חַّכּ ضحّك
שִיחְרֵר; חַרַّר حَرَّر 
ארוס (אדם מאורס); חַ׳טִיבּ خطيب
בחירה; אִחְ׳תִיַאר إختيار
פחות, מינוס (בחשבון); נַאקֵץ نَاقِص
תַּעֳרוּכָה; מַעְרַץ׳ مَعْرَض
לפי דעתי; חַסַבּ רַאְיִי حسب رأيي
ספורטאי, אתלט; רִיַאצִ׳י رِيَاضِي
דּוֹמֵה; מְשַאבֵּה مشابه
טיסה טרם נבדק; ספרה سَفرة
אָרוֹךְ; טַוִיל طويل
הדפיס; טַבַּע طبع
קשור (בעל שייכות לעניין); מֻעַלַّק معلّق
מימון; תַמְוִיל تمويل
רְשִׁימָה; קַאאִמֵה قَائِمِة
טִיפּוּל (רפואי); עִלַאג׳ عِلَاج
מתלהב; מִתְחַמֵّס متحمّس 
שְׂכִירוּת, הַשְׂכָּרָה; אַגַ׳אר أَجَار 
תמך, אהד; שַגַّ׳ע شجّع 
הגזים; בַּאלַע׳ بالغ
סיכון; מֻחַ׳אטַרַה مُخَاطَرَة
תָמַך; דַעַם دَعَم
תפקיד; דוֹר دور
התבַּיֵיש, היה נָבוֹךְ; חִ׳גֵ׳ל خجل
כְּלָל; קַאעְדֵה قَاعْدِة
רֶוַוח, מִרְוָוח; פַרַאע׳ فَرَاغ
מעשי, פרקטי; עַמַלִי عملي
צמצם, הפחית; קַלַّל قلّل 
מימש, הגשים; חַקַّק حقّق 
רהיטים; מַפְרוּשַאת مفروشات
צירף; צַ׳םّ ضمّ
פגש במקרה, נתקל; צַאדַף صادف 
שָֹכָר (לקח בשכירות); אִסְתַאְגַ׳ר إِسْتَأْجَر
פורסם, התפרסם; אִנְתַשַר إنتشر
הציע; עַרַצ׳ عَرَض
מַעֲרֶכֶת; נִטַ׳אם نظام
מיועד (ל); מְחַ׳צַّץ مخصّص
סֶקֶר, מישאל; אִסְתִטְלַאע إِسْتِطْلَاع
פירט; פַצַﬞל  فَصَّل
דייק, הקפיד; דַקַّק دقّق
התגשם, התקיים; תְחַקַّק تحقّق
עדכן (מילולית- שם בתמונה)

טרם נבדק; חט פי אלצורה حطّ في الصّورة
טכני; פַנִّי فنّي
אפור; רַמַאדִי رَمَادِي
חוֹלֶה; מַרִיץ׳  مَرِيض 
דָּת; דִין دِين
מעל, למעלה; פוֹק فُوق
שָׁחוֹר (צבע); אַסְוַד أَسْوَد
לָבָן (צבע); אַבְּיַץ׳ أَبْيَض
שָׁעוֹן; סַאעַה سَاعَة
שכנה; גַ׳ארַה جارة
לֵב; קַלְבּ قَلْب
אֶפֶס, 0 (מספר); צִפְר صِفْر
למטה; תַחְת تَحْت
אדום; אַחְמַר أَحْمَر
ירוק; אַחְ׳צַ׳ר أخضر
צָהוֹב; אַצְפַר أَصْفَر
מְאוֹד; כְּתִיר كثير 
חוּם; בֻּנִّי بنّي
סגול; בַּנַפְסַגִ׳י بنفسجي
מִסְפָּר; רַקַם رَقَم
ורוד; זַהְרִי زهري
טבלה; לַוְחַה لوحة
בא, מגיע (בזמן הווה); גַ׳אי جَاي
חלש; צְ׳עִיף ضعيف
תקווה; אַמַל أَمَل
מנהג, הרגל; עַאדֵה عَادِة
לְבָנָה (צבע); בֵּיצַ׳א بِيضَا
אֶבֶן; חַגַ׳ר حَجَر
אוֹר; נוּר نُور
דֶלֶת; בַּאבּ باب
פָּחַד (פועל); חַ׳אף خاف
כַּמּוּת, כְּמוֹ (כמותית); קַדّ قَدّ
חָרָטָה; נַדַם نَدَم
חֵיק (הרווח בין החזה לזרוע היד); חֻצֻ׳ן حضن
הרגיש; חַסّ حسّ
פַּחַד (תחושה); ח׳וֹף خوف
התהווה; תְכַּוַّן تكوّن 
שְׁבִיל הֶחָלָב (גלקסיה); דַרְבּ אֵ(ל)תַّבַּّאנֵה درب التّبّانة
נָגָע; לַמַס لمس
בּוֹדֵד; וַחִיד وحيد
ייאוש; יַאְס يأس
חוטים; חְ׳יוּט خيوط
לְבָבוֹת; קֻלוּבּ قُلُوب
פַּחֲדָן; גַ׳בַּאן جَبَان 
עצים (שם קיבוצי); שַגַ׳ר شَجَر
שקיעת השמש; עְِ׳רֻוּבּ אֵ(ל)שַّמֵס غْرُوب الشَّمِس
עוֹף (בעל חיים); טֵיר طِير
לקוח; זְבּוּן زبون
אֶמְצָעִי (כלי או דרך להשגת מטרה); וַסִילֵה وَسِيلِة
מִפְגַּש; לִקַאא لِقَاء
שילם; דַפַע دفع
מְדִינָה; דוֹלֵה دُولِة
צְבָאִי (שייך לצבא); עַסְכַּרִי عَسْكَرِي
התלהבות; חַמַאס حماس
מָדַד; קַאס قاس
נָהַג (בכלי רכב); סַאק ساق
קצין; צַ׳אבֵּט ضابط
גָּדָה;  צַ׳פֵّה ضفة
רשיון; רֻחְ׳צַה رُخْصَة 
עוֹנָה (בארבעת העונות); פַצְל فَصْل 
צָמֵא; עַטְשַאן عَطْشَان
בריא, בריאותי (טוב לבריאות); צִחִّי صِحِّي
אֵיזוֹר (גיאוגרפי); מַנְטִקַה مَنْطِقَة
ספרייה; מַכְּתַבֵּה مَكْتَبِة
עִרְבֵּב; חַ׳לַט خلط
נֶשֶק (כלי יריה); סִלַאח سلاح
שוֹמֵר (מקצוע); חַארֵס حَارِس 
שְׂמֹאל; שְמַאל شْمَال 
משפט; גֻ׳מְלֵה جملة
הִשְתַתֵף; שַארַכּ شارك
חשוד; מַשְבּוּה مشبوه
איפשֵר, הִרְשָה, נתן לעשות; חַ׳לַّא خلّى
אוֹזֶן; וִדֵן وِدِن
חוּט; חֵ׳יט خيط
חֲזִיר; חַ׳נְזִיר خَنْزِير
קיר; חֵיט حيط
מחנה פליטים; מֻחַ׳יַّם مخيّم
כָּבֵד (שמשקלו רב); תְקִיל ثْقِيل
חמוץ; חַאמֵץ׳ حامض
מחסום; חַאגֵ׳ז حَاجِز
שלח; בַּעַת׳ بعث
חצר, כיכר; סַאחַה ساحة 
רגע; לַחְטַ׳ה لحظة
סְפּוֹרְט, פעילות גופנית (תחרותי או אישי); רִיַאצַ׳ה رِيَاضَة
הפתעה; מֻפַאגַ׳אַה مفاجأة
משימה; מֻהִמֵّה مهمّة
בִּיטָּחוֹן (העדר סכנה); אַמַאן أَمَان
כָּבַשׁ; אִחְתַלّ إحتلّ 
הֵכִין; חַצַّ׳ר حَضَّر
מתנחל; מֻסְתַוְטֵן مستوطن
כּוֹבַע; טַאקִיֵّה طاقيّة
סִיר (כלי בישול); טֻנְגַ׳רַה طُنْجَرَة
חָרִיף (טעם); חַארّ حارّ 
פָּלִיט; לַאגֵ׳אְ لَاجِئ 
שוּם; ת׳וֹם ثُوم
מֶלַח (תבלין); מִלְח مِلْح
הרים, העלה; רַפַע رَفَع
חיסול; תַצְפִיֵה تصفية
מְשׁוּתַּף; מֻשְתַרַכּ مشترك
דֶּגֶל; עַלַם عَلَم
חומץ; חַ׳לّ خلّ
רֶקָע; חַ׳לְפִיֵّה خَلفِيِّة
גיבור; בַּטַל بَطَل
מעניין, מעורר עניין; מֻתִ׳יר לִלִאהְתִמַאם مثير للاهتمام
עִימוּת צְבָאִי; מֻוַאגַ׳הַה مُوَاجَهَة
תעודה; שַהַאדֵה شهادة
תנאי; שַרְט شَرْط
אוכלוסייה; אַהַאלִי أهالي
נמשך, התמשך, המשיך, התמיד; אִסְתַמַרّ إِسْتَمَرّ
נרשם; תְסַגַّ׳ל تسجّل
הרס; הַדַם هدم
גבולות, גבול; חְדוּד حْدُود
ציפה; תְוַקַّע تْوَقَّع
התקלח; תְחַמַّם تحمّم
אֲרוּחָה; וַגְ׳בֵּה وَجْبِة
טרור; אִרְהַאבּ ارهاب
אירוע; חַאדֵת׳ حادث
כניסה (מקום שנכנסים בו); מַדְחַ׳ל مَدْخَل
התקשר, טילפן; צַ׳רַבּ תֵלֵפוֹן ضرب تلفون
תקשורת; אִעְלַאם اعلام
התנגדות (צבאית), התקוממות; מֻקַאוַמֶה مقاومة
עבר, זמן עבר; מַאצִ׳י ماضي
סֵמֶסְטֶר (מחצית שנת לימודים); פַצְל فَصْل 
קִיצוֹנִי, פָנָאטִי; מֻתַטַרֵّף متطرّف
דומם; גַ׳מַאד جماد
חָבֵר (משתייך לקבוצה או אירגון); עֻצ׳וּ عُضُو 
המזרח התיכון; אֵ(ל)שַّרְק אֵלְאַוְסַט الشّرق الاوسط
כִּיבֵּד; שַרַّף شَرَّف
דחף; דַפַש دفش
גֵּירֵד; חַכּّ حَكّ
הֲסָתָה; תַחְרִיץ׳ تَحْرِيض
פציעה, פגיעה; אִצַאבֵּה إصابة
הִצִיל; אַנְקַד׳ أنقذ
נָסַע (בכלי תחבורה / עלה על); רִכֵּבּ ركب
מִידָה, גודל; קִיַאס قياس
שֶׁקַע (חשמלי); בְּרִיז بْرِيز
באמצעות; עַן טַרִיק عن طريق
תבלינים; בְּהַארַאת بْهَارَات 
התפוצצות; אִנְפִגַ׳אר انفجار
נִיסַה, הִשְתַדֵל; חַאוַל حاول
עָרוּץ (תקשורת, טלוויזיה); קַנַאה قَنَاة 
טָעַן (טלפון); שַחַן شَحَن
מקרר; בַּרַّאד بَرَّاد
הִמְתִיק (הוסיף סוכר); חַלַّא حلّى
התנגד, חלק על; עַארַץ׳ عارض
מחוז, מדינה; וִלַאיֵה ولاية
הפריד, פיצל; פַצַל فصل
סֶגֶר (מניעת חופש תנועה); אִעְ׳לַאק إغلاق
חזר על, עשה שוב; כַּרַّר كرّر
מאוחד; מֻתַّחֵד متّحد
נהיגה; סְוַאקַה سواقة
מַעְיָין (מקווה מים); עֵין عِين
שַֹם; חַטّ حَطّ
מספיק; בִּיכַּפִّי بيكفّي
חשוב; מֻהִםّ مهمّ
הביא; גַ׳אבּ جاب
עכשיו (בלהג הצפוני); אִסַّא إسّا
חזר; עַאד عاد
תמיד; דַאיְמַן دايمًا
מָתַי (מילת שאלה); וֵינְתַא وِينْتَى
עִמָנוּ, אִיתָּנוּ; מַעְנַא معنا
למי?, של מי?; לַמִין? لمين
קרוב; קַרִיבּ قريب
יֵשׁ; פִי فِي
טוֹב; כְּוַיֵّס كْوَيِّس
רחוק; בְּעִיד بعيد
קשר, יחס; עַלַאקַה علاقة
מאחורי, אחרי; וַרַא ورا
תְּשׁוּבָה; גַ׳וַאבּ جَوَاب
הבא, תן; הַאת هَات
כולל, מקיף (מכיל הכל); שַאמֵל شَامِل
עָשָׂה; סַוַّא سوّى 
תגובה, תשובה; רַדّ رَدّ
כמובן; טַבְּעַן طبعاً 
עובר, חולף; מַאצִ׳י مَاضِي
קוֹדֵם; בִּ(א)לְאַוַّל بالأوّل
בִּגְלַל, בְּשֶׁל; בְּסַבַּבּ بْسَبَب 
בגלל; עַשַאן عَشَان
כנראה, כפי שנראה טרם נבדק; עַלַא מַא יַבּדוּ على ما يبدو
עולה; טַאלֵע طالع
אַמוּר; מַפְרוּץ׳ مفرؤض
יורד; נַאזֵל نازل
עונש; קָצָאץ قصاص
הִסְכִּים (עם); וַאפַק وافق 
עיר בירה; עַאצְמֵה عَاصْمِة
מְדוּיָּיק; דַקִיק دقيق
שָׂמֵחַ; סַעִיד سَعِيد
הִתְחִיל; אִבְּתַדַא إِبْتَدَا
ביקור; זִיַארַה زيارة
צוֹמֶת (מפגש של דרכים); מַפְרַק مَفْرَق
מחאה; אִחְתִגַ׳אג إِحْتِجَاج
דִּירָה; שַקַّה شَقَّة
חילוני; עִלְמַאנִי علماني
תרבות; תַ׳קַאפֵה ثَقَافِة
טיל; צַארוּח׳ صاروخ
פרוייקט, מיזם; מַשְרוּע مَشْرُوع
עַם; שַעֵבּ شعب
סיעוד; תַמְרִיץ׳ تمريض
אויב; עַדוּ عَدُو 
נֶגֶד; עַלַא على
עימות, מחלוקת, סכסוך; חִ׳לַאף خلاف 
יחיד (בדקדוק); מֻפְרַד مُفْرَد
שִׁכְלֵל, שִיפֵּר; חַסַّן حسّن 
נשלט, תחת שליטה; מְסַיְטַר مسيطر
קסדה; ח׳וֹדֵ׳ה خوذة
התפתח; תְטַוַّר تطوّر
תחבורה; מֻוַאצַלַאת مواصلات
פורום; מֻנְתַדַא منتدى 
שונה; מִחְ׳תְלֵף مختلف 
הקדים, עקף; סַבַּק سبق
אִרְגּוּן (מבנה חברתי); מֻנַטַّ׳מֵה مُنَظَّمِة
משאית; שַאחְנֵה شاحنة 
תעודת בגרות; תַוְגִ׳יהִי تَوْجِيهِي
מְחַבֵּל; מֻחַ׳רֵّבּ مخرّب
מערכת החיסון; גִ׳הַאז אִלְמַנַאעַה جهاز المناعة
שילטון, רשות; סֻלְטַה سلطة
תלה; עַלַّק عَلَّق
מְפַקֵד; קַאאֵד قائد
תושב, אזרח; מֻוַאטֵן مواطن
גלגל; עַגַ׳ל عجل
מחה; אִחְתַגّ׳ إحتجّ
עֲלִיָּיה; אִרְתִפַאע إِرْتِفَاع
יחס; נִסְבֵּה نسبة 
הֶחְרִים; קַאטַע قاطع
איום; תַהְדִיד تهديد
טיפל; עַאלַג׳ عالج
הפגין; תְטַ׳אהַר تظاهر
תיכנן; חַ׳טַّט خطّط 
סִייֵּם; אַנְהַא  أَنْهَى
נִפְנֵף (כנפיים); רַפְרַף رَفْرَف
גדוד; כַּתִיבֵּה كتيبة
סבתא; סִתّ ستّ 
סחיטה (עבירה); אִבְּתִזַאז إِبْتِزَاز
גּוּש (בפרלמנט, גוש פוליטי); כֻּתְלֵה كُتْلِة 
נִכְנָע, השלים עם; אִסְתַסְלַם إِسْتَسْلَم 
כָּלַל, הכיל (שבתוכו נכלל); שַמַל شَمَل
צד; גִ׳הַה جهة
שיקום, שיפוץ (מבנים); תַרְמִים تَرْمِيم
מערכת; גִ׳הַאז جهاز
נֶצַח; אַבַּד  أَبَد
כַּדוּר (למשחק); טַאבֶּה طابة
הִתְנַגֵשׁ; אִצְטַדַם إِصْطَدم
יחסים בינלאומיים טרם נבדק; עַלַאקַת דוּאַלִיֵה 
פשע; גַ׳רִימֵה جريمة
אֲדָמָה, עָפָר (חומר); תְרַאבּ تْرَاب
מילואים; אִחְתִיַאט احتياط
אֲתָר; מַוְקֵע موقع
גישה, שיטה; נַהְג׳ نهج
בית; מַנְזֵל منزل
חקר; חַקַﬞק حقّق
חקירה; תַחְקִיק تحقيق
מספר, כמה; עִדֵّה عدّة
שר האוצר; וַזִיר אֵלְמַאלִיֵﬞה وزير الماليّة
חלק; שַקַﬞה شَقَّة
מִיהֵר, הִזְדָּרֵז; עַגַّ׳ל عجّل
כוכב (בשמיים או צורה); נִגְ׳מֵה نجمة
נָסַע (לטיול, לחו״ל); סַאפַר سافر
שָׁנָה; סַנֵה سَنِة
עֶרֶב טוֹב (הברכה); מַסַא (א)לְחֵ׳יר مسا الخير
מצויין; מֻמְתַאז مُمْتَاز
מטוס; טַיַّארַה طَيَّارَة
ערב; מַסַאא مساء
שָׁמַע; סִמֵע سِمِع
יָד; אִיד إيد
לבש, התלבש; לִבֵּס لبس
שאלוהים יברך אותך; אַלְלַّה יְבַּארֵכּ פִיכּ الله يْبَارِك فِيك
כדור; כֻּרַה كرة
חַשָּׁב; פַכַּّר فَكَّر
נִיסָה, בָּדַק; גַ׳רַّבּ جرّب
שיחק; לִעֵבּ لعب
גוף; בַּדַן بدن
משולש; מְתַ׳לַّת׳ مثلّث
מלבן (צורה גיאומטרית); מֻסְתַטִיל مُسْتَطِيل
מַעְגָּל, עיגול; דַאאִרַה دَائِرَة
צַלַּחַת; צַחְן صَحْن 
לילה טוב; תִצְבַּח עַלַא חֵ׳יר تصبح على خير
אָכַל; אַכַּל أَكَل
שׁוּלְחָן (אוכל); סֻפְרַה سفرة
בִּשְׁבִיל; עַשַאן عَشَان
שָׁתָה; שִרֵבּ شِرِب
צחק; צִ׳חֵכּ ضحك
קוביה; מְכַּעַّבּ مكعّب
בגדים; תְ׳יַאבּ ثياب
ברכה לשתיית קפה; קַהוֵה דַאיְמֵה قهوة دايمة
עזב; עַ׳אדַר غادر 
לילה טוב (תשובה); וּאִנְתֵ מִן אַהְלוֹ وانت من اهله
כְּפָפוֹת; כְּפוּף كفوف
הִדְלִיק (אור, מכשיר); צַ׳וַא ضَوَى 
צעק; צַרַّח׳ صرّخ
הֶעֱבִיר (ממקום למקום); נַקַל نَقَل
זמן עבר; אֵלְמַאצִ׳י الماضي
שבע; שַבְּעַאן شبعان
עָצַר (הפסיק את התנועה); וַקַّף وقّف
מְעִיל; כַּבּّוּת كبّوت
פירמידה; הַרַם هرم 
לְמָה, בִּשְׁבִיל מָה; לַאֵיש لإيش
משפחה (רחבה); אַהְל أهل
צוּרָה; שִכֵּל شكل
הִתְפַּשֵּׁט (הוריד בגדים); שַלַח شلح
טוֹב, טוּב; חֵ׳יר خِير
ריבוע; מְרַבַּّע مربّع
אִיבֵּד; צַ׳וַّע ضَوَّع
ברוך הנמצא (מילולית - שלום בך); אַהְלַן פִיכּ أهلًا فِيك
אווירה; גַ׳וّ جوّ 
חינוך (תחום עיסוק); תַרְבִּיֵה تربية
